name,tool_id,category,subcategory,description,link,github_url,offering,open_source,self_hostable,pricing,maturity,released_at,updated_at,score,rank_in_subcategory
Superpowers,superpowers,Agent Skills,Various,An agentic skills framework and software development methodology that works,,https://github.com/obra/superpowers,oss-library,true,true,free,,2025-10-09,2026-07-24,260716,1
Awesome Claude Code,awesome-claude-code,Agent Skills,Markdown,"A curated list of skills, hooks, commands, orchestrators, and plugins for Claude Code",,https://github.com/hesreallyhim/awesome-claude-code,oss-library,true,true,free,,2025-04-19,2026-07-25,50883,1
Pika Skills,pika-skills,Agent Skills,Various,AI agent skills for the Pika Labs platform enabling automated video generation,,https://github.com/Pika-Labs/Pika-Skills,oss-library,true,true,free,,2026-04-01,2026-07-15,1156,4
Autonovel,autonovel,Agent Runtimes & Frameworks,Python,An autonomous novel writing pipeline powered by Hermes Agent for creative storytelling,,https://github.com/NousResearch/autonovel,oss-library,true,true,free,,2026-03-14,2026-03-20,1346,7
Agency Agents,agency-agents,Agent Runtimes & Frameworks,Python,A complete AI agency with specialized expert agents for diverse tasks,,https://github.com/msitarzewski/agency-agents,oss-library,true,true,free,,2025-10-13,2026-07-23,136527,1
Hyperbrowser App Examples,hyperbrowser-app-examples,Agent Runtimes & Frameworks,TypeScript,A collection of fully functional Hyperbrowser-powered web apps built with TypeScript,,https://github.com/hyperbrowserai/hyperbrowser-app-examples/tree/main/hyperdesign,oss-library,true,true,free,,2025-05-28,2026-07-23,1898,3
AgentField,agentfield,Agent Runtimes & Frameworks,SaaS,A platform for building and managing AI agents to automate tasks and workflows,https://agentfield.ai/,,saas,false,false,freemium,,,,0,2
CocoIndex,cocoindex,Agent Runtimes & Frameworks,Python,Incremental engine for long horizon AI agents enabling real-time data indexing,,https://github.com/cocoindex-io/cocoindex,oss-library,true,true,free,,2025-03-03,2026-07-23,11050,5
Awesome Hermes Agent,awesome-hermes-agent,Agent Skills,Markdown,"A curated list of skills, tools, integrations, and resources for Hermes Agent",,https://github.com/0xNyk/awesome-hermes-agent,oss-library,true,true,free,,2026-03-23,2026-07-25,4983,2
ACPX,acpx,Agent Runtimes & Frameworks,Go,Headless CLI client for managing stateful Agent Client Protocol (ACP) sessions,,https://github.com/openclaw/acpx,oss-library,true,true,free,,2026-02-17,2026-07-24,3043,1
Career Ops,career-ops,Agent Runtimes & Frameworks,TypeScript,"AI-powered job search system with 14 skill modes, Go dashboard, PDF generation",,https://github.com/santifer/career-ops,oss-library,true,true,free,,2026-04-04,2026-07-25,61423,2
Open Source Codex Symphony,open-source-codex-symphony,Agent Runtimes & Frameworks,Blog,Open-source orchestration framework for Codex-based AI workflows,https://openai.com/index/open-source-codex-orchestration-symphony/,,hybrid,false,false,freemium,,,,0,1
Paperasse,paperasse,Agent Runtimes & Frameworks,Markdown,"French AI agent skills specialized in bureaucratic tasks (accounting, notary)",,https://github.com/romainsimon/paperasse,oss-library,true,true,free,,2026-02-05,2026-07-11,2284,1
Statewright,statewright,Agent Runtimes & Frameworks,Various,State machine guardrails for AI agents.,,https://github.com/statewright/statewright,oss-library,true,true,free,,2026-05-03,2026-07-23,418,8
Route,route,Agent Runtimes & Frameworks,TypeScript,"Workspace-first multi-agent coordination platform with shared Specs, Kanban, MCP/ACP/A2A support",,https://github.com/phodal/routa,oss-library,true,true,free,,2026-02-16,2026-06-30,1759,4
Ruflo,ruflo,Agent Runtimes & Frameworks,TypeScript,"Agent orchestration platform for Claude — deploy multi-agent swarms, autonomous workflows, conversational AI",,https://github.com/ruvnet/ruflo,oss-library,true,true,free,,2025-06-02,2026-07-25,65868,1
InsForge,insforge,Agent Runtimes & Frameworks,Various,"Platform for building, deploying, and managing AI agents and their tools.",,https://github.com/InsForge/InsForge,oss-library,true,true,free,,2025-07-29,2026-07-25,12455,5
agent-gate,agent-gate,Agent Runtimes & Frameworks,Python,MCP server for fail-closed quality gates and hash-chained receipts for agents.,,https://github.com/chopratejas/agent-gate,oss-library,true,true,free,,,,0,11
goose,goose,Agent Runtimes & Frameworks,Rust,Native open source AI agent for code and workflows.,,https://github.com/block/goose,oss-library,true,true,free,,2024-08-23,2026-07-25,51655,1
forkd,forkd,Agent Runtimes & Frameworks,Rust,Fork() for AI agent microVMs; spawn 100 children in ~100ms from a warm parent.,https://github.com/deeplethe/forkd,https://github.com/deeplethe/forkd,hybrid,false,false,freemium,,2026-05-11,2026-07-22,2722,4
google/skills,google-skills,Agent Skills,Python,"Agent Skills for Google products and technologies (GCP, Gemini API, etc.).",,https://github.com/google/skills,oss-library,true,true,free,,2026-03-31,2026-07-24,15235,1
OpenSandbox,opensandbox,Agent Runtimes & Frameworks,Various,Open-source cloud-native sandboxing platform for executing untrusted code.,,https://github.com/opensandbox-group/OpenSandbox,oss-library,true,true,free,,2025-12-17,2026-07-24,12163,6
shaojunda/skills,shaojunda-skills,Agent Skills,Various,A collection of AI agent skills and tools for enhanced productivity.,,https://github.com/shaojunda/skills,oss-library,true,true,free,,,,0,5
shizidushu/skills,shizidushu-skills,Agent Skills,Various,A library of specialized skills for AI agents and LLM-based workflows.,,https://github.com/shizidushu/skills,oss-library,true,true,free,,,,0,6
Omnigent,omnigent,Agent Runtimes & Frameworks,Python,Multi-agent orchestration framework for complex task solving.,,https://github.com/omnigent-ai/omnigent,oss-library,true,true,free,,2026-06-11,2026-07-25,7729,6
AgentScope,agentscope,Agent Runtimes & Frameworks,Python,"Developer-centric multi-agent framework designed for building, orchestrating, and deploying LLM-powered systems.",https://github.com/agentscope-ai/agentscope,https://github.com/agentscope-ai/agentscope,hybrid,false,false,freemium,,2024-01-12,2026-07-23,28246,3
adk-python,adk-python,Agent Runtimes & Frameworks,Python,"Code-first Python SDK for building, evaluating, and deploying AI agents with Google Cloud integration.",https://github.com/google/adk-python,https://github.com/google/adk-python,hybrid,false,false,freemium,,2025-04-01,2026-07-25,20872,4
cc-fleet,cc-fleet,Agent Runtimes & Frameworks,Go,"🚢 Run Claude Code's ⚙️ Dynamic Workflows, 👥 Agent Teams & ⚡ Subagents on any third-party model — DeepSeek · GLM · Kimi · Qwen … or your Codex subscription. No Anthropic subscription needed. ｜ 🚢 让 Claude Code 的 ⚙️ Dynamic Workflow、👥 Agent Team、⚡ Subagent 用上任意第三方模型 — DeepSeek · GLM · Kimi · Qwen…… 或你的 Codex 订阅,无需 Claude 订阅",,https://github.com/ethanhq/cc-fleet,oss-library,true,true,free,,2026-05-30,2026-07-19,196,3
zeroshot,zeroshot,Agent Runtimes & Frameworks,JavaScript,"Your autonomous engineering team in a CLI. The agent loop produces senior-level code that you can actually trust in prod because of non-negotiable feedback from independent reviewers. Supports Claude Code, OpenAI Codex, OpenCode, and Gemini CLI with trivial setup.",,https://github.com/the-open-engine/zeroshot,oss-library,true,true,free,,2025-12-25,2026-07-25,1673,2
fabro,fabro,Agent Runtimes & Frameworks,Rust,⚒️ The open source dark software factory for expert engineers.,,https://github.com/fabro-sh/fabro,oss-library,true,true,free,,2026-03-13,2026-07-25,1448,5
smolfs,smolfs,Agent Runtimes & Frameworks,Rust,Durable workspace folders for AI agents.,,https://github.com/CelestoAI/smolfs,oss-library,true,true,free,,2026-06-24,2026-06-25,18,7
tinyagents,tinyagents,Agent Runtimes & Frameworks,Rust,A recursive language-model (RLM) harness for Rust.,,https://github.com/tinyhumansai/tinyagents,oss-library,true,true,free,,2026-06-29,2026-07-24,25,6
agentic-orchestrator,agentic-orchestrator,Agent Runtimes & Frameworks,Go,"An AI development workflow orchestrator that runs research, planning, implementation, code review, and pull requests concurrently from a single terminal.",,https://github.com/doordash-oss/agentic-orchestrator,oss-library,true,true,free,,2026-05-12,2026-07-25,83,4
Ornith-1,ornith-1,Agent Runtimes & Frameworks,Various,"Self-improving open-source coding models (9B–397B MoE, post-trained on Gemma 4 and Qwen 3.5) achieving state-of-the-art performance on coding benchmarks such as SWE-Bench and Terminal-Bench.",,https://github.com/deepreinforce-ai/Ornith-1,oss-library,true,true,free,,2026-06-21,2026-06-27,1684,7
hermes-synapse,hermes-synapse,Agent Runtimes & Frameworks,Python,"Visual multi-agent orchestrator with a drag-and-drop DAG canvas, dynamic LLM planning loops, permission-based tool execution, and local Qdrant RAG.",,https://github.com/pauloberezini/hermes-synapse,oss-library,true,true,free,,2026-07-03,2026-07-22,24,9
peerd,peerd,Agent Runtimes & Frameworks,JavaScript,"The first AI agent harness native to the browser. A browser extension that runs a full agent loop where you already work: it drives your tabs, spins up sandboxed compute (JS notebooks, WASM Linux VMs, client-side apps), and shares what it builds peer-to-peer. BYOK, no backend, no telemetry.",,https://github.com/NotASithLord/peerd,oss-library,true,true,free,,2026-06-22,2026-07-24,370,3
cruxible,cruxible,Agent Runtimes & Frameworks,Python,"Hard, verifiable state layer for AI agents",,https://github.com/cruxible-ai/cruxible,oss-library,true,true,free,,2026-03-04,2026-07-24,14,10
talon,talon,Agent Runtimes & Frameworks,TypeScript,"🦅 Multi-platform agentic AI harness — runs on Telegram, Discord, Teams & Terminal with a pluggable backend (Claude, Kilo, OpenCode, Codex, OpenAI Agents), full MCP tool access, and persistent background agents (Goals, Heartbeat, Dream).",,https://github.com/dylanneve1/talon,oss-library,true,true,free,,2026-03-14,2026-07-24,68,5
ard-spec,ard-spec,Agent Runtimes & Frameworks,Python,Agentic Resource Discovery (ARD) specification,,https://github.com/ards-project/ard-spec,oss-library,true,true,free,,2026-05-19,2026-07-15,403,8
mesh-llm,mesh-llm,Agent Runtimes & Frameworks,Rust,Distributed AI/LLM for the people. Share compute privately or publicly to power your agents and chat.,,https://github.com/Mesh-LLM/mesh-llm,oss-library,true,true,free,,2026-02-11,2026-07-25,2881,3
anything-llm,anything-llm,Agent Runtimes & Frameworks,JavaScript,Stop renting your intelligence. Own it with AnythingLLM. Everything you need for a powerful local-first agent experience,https://github.com/Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,hybrid,false,false,freemium,,2023-06-04,2026-07-25,63815,1
AI Commander,ai-commander,Agent Runtimes & Frameworks,SaaS,"Remote shell relay that lets Claude, Codex, ChatGPT, or any MCP/HTTP client run real shell commands on your machines over a secure relay — no exposed SSH, open ports, or VPN.",https://aicommander.dev,,saas,false,false,freemium,,,,0,3
beam_weaver,beam-weaver,Agent Runtimes & Frameworks,Elixir,"Elixir-native LangChain, LangGraph, and DeepAgents for traceable LLM apps: OTP workflows, tools, memory, human-in-the-loop, streaming, and WeaveScope tracing.",,https://github.com/caudena/beam_weaver,oss-library,true,true,free,,2026-06-12,2026-07-24,41,1
GitAgent Protocol,gitagent-protocol,Agent Runtimes & Frameworks,TypeScript,"A framework-agnostic, git-native standard for defining AI agents. Your repository becomes your agent — clone a repo, get an agent. Supports compliance, versioning, and export to multiple frameworks.",https://www.gitagent.sh/,,hybrid,false,false,freemium,,,,0,6
clawk,clawk,Agent Runtimes & Frameworks,Go,"Give coding agents a disposable Linux VM, not your laptop. Agents work inside a disposable Linux VM with your code mounted in, root in the guest, no permission prompts, while your files and keychain stay out of reach.",,https://github.com/clawkwork/clawk,oss-library,true,true,free,,2026-07-06,2026-07-18,792,2
Hiver,hiver,Agent Runtimes & Frameworks,TypeScript,"Replayable sandboxes for AI agents. Provides isolated environments with governed workspaces, policy-gated actions, and full end-to-end replay across every browser action, file change, network request, tool call, and approval.",https://hiver.sh,,hybrid,false,false,freemium,,,,0,7
Halley,halley,Agent Runtimes & Frameworks,Rust,"OpenTelemetry-native observability backend that records production agent runs as bit-fidelity cassettes, turning them into deterministic regression tests in CI at zero LLM cost.",,https://github.com/A-Wattamwar/halley,oss-library,true,true,free,,2026-05-13,2026-07-13,2,8
Contractor,contractor,Agent Runtimes & Frameworks,JavaScript,"A delegation-driven operating system for Claude Code that uses a multi-agent swarm (orchestrator, architect, builder swarm, reviewers) for disciplined, research-first development workflows.",,https://github.com/chrstian6/contractor,oss-library,true,true,free,,2026-07-13,2026-07-14,39,4
cwc-long-running-agents,cwc-long-running-agents,Agent Runtimes & Frameworks,Shell,"Harness primitives for long-running Claude agents — default-FAIL contracts, fresh-context evaluators, and agent-maintained handoff hooks. From Anthropic's Code with Claude 2026.",,https://github.com/anthropics/cwc-long-running-agents,oss-library,true,true,free,,2026-05-06,2026-05-13,596,1
Get Sh*t Done (GSD),get-sh-t-done-gsd,AI Coding Assistants & Harnesses,Various,Light-weight meta-prompting and spec-driven development system for Claude Code,,https://github.com/gsd-build/get-shit-done,oss-library,true,true,free,,2025-12-14,2026-05-31,64790,3
BMAD-METHOD,bmad-method,AI Coding Assistants & Harnesses,JavaScript,Breakthrough Method for Agile AI-Driven Development in JavaScript projects,,https://github.com/bmad-code-org/BMAD-METHOD,oss-library,true,true,free,,2025-04-13,2026-07-23,51095,1
Archon,archon,AI Coding Assistants & Harnesses,Python,The first open-source harness builder for AI coding to make AI coding deterministic,,https://github.com/coleam00/Archon,oss-library,true,true,free,,2025-02-07,2026-07-23,23002,3
book-to-skill,book-to-skill,AI Coding Assistants & Harnesses,Various,Converts technical books into structured Claude Code skills,,https://github.com/virgiliojr94/book-to-skill,oss-library,true,true,free,,2026-05-01,2026-07-24,9544,5
claude-hud,claude-hud,AI Coding Assistants & Harnesses,TypeScript,Real-time status display plugin for Claude Code tracking context and tools,,https://github.com/jarrodwatts/claude-hud,oss-library,true,true,free,,2026-01-02,2026-07-21,26792,2
codegraph,codegraph,AI Coding Assistants & Harnesses,Various,Semantic knowledge graph of codebases to reduce token usage and tool calls,,https://github.com/colbymchenry/codegraph,oss-library,true,true,free,,2026-01-18,2026-07-24,62333,4
codewiki.google,codewiki-google,AI Coding Assistants & Harnesses,SaaS,Automatically generates and maintains structured documentation and architecture diagrams,https://codewiki.google/,,saas,false,false,freemium,,,,0,1
junction,junction,AI Coding Assistants & Harnesses,TypeScript,"VS Code chat sidebar that unifies local AI coding agents (OpenClaw, Hermes, etc.).",,https://github.com/Plaer1/junction,oss-library,true,true,free,,2026-06-17,2026-06-29,641,8
Freebuff,freebuff,AI Coding Assistants & Harnesses,TypeScript,Free coding agent with specialized subagents and ChatGPT support,https://freebuff.com/,,hybrid,false,false,freemium,,,,0,10
Harness Engineering,harness-engineering,AI Coding Assistants & Harnesses,Blog,Blog post detailing harness engineering techniques for building reliable AI systems,https://openai.com/index/harness-engineering/,,hybrid,false,false,freemium,,,,0,1
html-anything,html-anything,AI Coding Assistants & Harnesses,Various,"Turns Markdown, CSV, or JSON into single-file HTML artifacts using agent sessions",,https://github.com/nexu-io/html-anything,oss-library,true,true,free,,2026-05-11,2026-07-14,7947,7
openui,openui,AI Coding Assistants & Harnesses,TypeScript,Full-stack Generative UI framework for streaming interactive components,,https://github.com/thesysdev/openui,oss-library,true,true,free,,2024-12-02,2026-07-25,8200,5
Understand-Anything,understand-anything,AI Coding Assistants & Harnesses,Various,Scans codebases to build interactive knowledge graphs and dashboards,,https://github.com/Lum1104/Understand-Anything,oss-library,true,true,free,,2026-03-15,2026-07-21,76025,2
zero,zero,AI Coding Assistants & Harnesses,Zero,Systems programming language designed for AI agents with JSON diagnostics,,https://github.com/vercel-labs/zero,oss-library,true,true,free,,2026-05-15,2026-07-01,5226,1
Spec Kit,spec-kit,AI Coding Assistants & Harnesses,Various,An open source toolkit that allows you to focus on product scenarios and predictable outcomes instead of vibe coding every piece from scratch.,,https://github.com/github/spec-kit,oss-library,true,true,free,,2025-08-21,2026-07-24,123703,1
Agent of Empires,agent-of-empires,AI Coding Assistants & Harnesses,Go,"Manage multiple Claude Code, OpenCode, and other AI coding agents via TUI or Web",,https://github.com/njbrake/agent-of-empires,oss-library,true,true,free,,2026-01-09,2026-07-24,2877,2
IBM Bob,ibm-bob,AI Coding Assistants & Harnesses,SaaS,"Enterprise AI coding agent with agentic modes, literate coding (human language), real-time code reviews, enterprise ecosystem integration",https://bob.ibm.com/,,saas,false,false,freemium,,,,0,2
Crush,crush,AI Coding Assistants & Harnesses,Go,Glamourous agentic coding for all. Terminal-based coding assistant with multi-model and LSP support.,,https://github.com/charmbracelet/crush,oss-library,true,true,free,,2025-05-21,2026-07-25,26830,1
Claude Code Harness,claude-code-harness,AI Coding Assistants & Harnesses,Shell,Dedicated development harness with autonomous Plan→Work→Review cycle for high-quality output,,https://github.com/Chachamaru127/claude-code-harness,oss-library,true,true,free,,2025-12-12,2026-07-23,3013,1
code-review-skill,code-review-skill,AI Coding Assistants & Harnesses,HTML,"Comprehensive code review skill for Claude Code covering React 19, Vue 3, Rust, TypeScript, and more",,https://github.com/awesome-skills/code-review-skill,oss-library,true,true,free,,2025-11-29,2026-07-16,1508,1
AWS Well-Architected Skills,aws-well-architected-skills,AI Coding Assistants & Harnesses,Python,Reusable skills teaching AI coding agents to apply the AWS Well-Architected Framework,,https://github.com/aws-samples/sample-well-architected-skills-and-steering,oss-library,true,true,free,,2026-05-21,2026-07-17,230,7
oh-my-pi,oh-my-pi,AI Coding Assistants & Harnesses,TypeScript,"AI coding agent for the terminal with hash-anchored edits, LSP, subagents, and browser",,https://github.com/can1357/oh-my-pi,oss-library,true,true,free,,2025-12-31,2026-07-25,19640,3
OpenHuman,openhuman,AI Coding Assistants & Harnesses,Rust,"Personal AI superintelligence — private, simple, and extremely powerful",,https://github.com/tinyhumansai/openhuman,oss-library,true,true,free,,2026-02-18,2026-07-25,35380,1
aider,aider,AI Coding Assistants & Harnesses,Python,AI pair programming in your terminal; connects to LLMs to edit code in your local git repo.,,https://github.com/paul-gauthier/aider,oss-library,true,true,free,,2023-05-09,2026-05-22,47683,1
agents-cli,agents-cli,AI Coding Assistants & Harnesses,Python,Command-line tool and skills package to streamline the Agent Development Lifecycle (ADLC) on Google Cloud.,https://github.com/google/agents-cli,https://github.com/google/agents-cli,hybrid,false,false,freemium,,2026-04-08,2026-07-23,5350,5
Foreman,foreman,AI Coding Assistants & Harnesses,Python,Boris-style agentic orchestrator TUI that supervises headless Claude Code agents through a gated delivery pipeline.,https://github.com/VisionForge-OU/foreman,https://github.com/VisionForge-OU/foreman,hybrid,false,false,freemium,,2026-06-17,2026-06-29,292,6
hunk,hunk,AI Coding Assistants & Harnesses,TypeScript,Review-first terminal diff viewer for agentic coders,,https://github.com/modem-dev/hunk,oss-library,true,true,free,,2026-03-17,2026-07-25,7717,6
Code-Duo,code-duo,AI Coding Assistants & Harnesses,Python,"Two AI coding agents — Claude & Codex — in one window. Stream every step, cross-review, watch the cost, and catch the AI that claims it did the work but didn't. Subscription-driven, no API.",,https://github.com/norika1207-lab/Code-Duo,oss-library,true,true,free,,2026-06-21,2026-06-21,37,8
donecheck,donecheck,AI Coding Assistants & Harnesses,Python,"Proof-of-done for AI coding agents. Local evidence receipts for Codex, Claude Code, Cursor, and GitHub Actions.",,https://github.com/AtharvaMaik/donecheck,oss-library,true,true,free,,2026-06-21,2026-07-03,16,9
soba-agent,soba-agent,AI Coding Assistants & Harnesses,TypeScript,"Proactive CLI coding agent with self-modifying skills, context management, and hybrid visual tooling.",,https://github.com/avacadorun-dev/soba-agent,oss-library,true,true,free,,2026-06-21,2026-07-22,6,9
loop-engineering,loop-engineering,AI Coding Assistants & Harnesses,JavaScript,"Practical patterns, starters & CLI tools for loop engineering with AI coding agents. Design systems that prompt and orchestrate agents (inspired by Addy Osmani and Boris Cherny). Includes loop-audit, loop-init, loop-cost.",,https://github.com/cobusgreyling/loop-engineering,oss-library,true,true,free,,2026-06-09,2026-07-25,9359,3
cli-continues,cli-continues,AI Coding Assistants & Harnesses,TypeScript,"resume any AI coding session in another tool — Claude Code, Copilot, Gemini, Codex, Cursor",,https://github.com/yigitkonur/cli-continues,oss-library,true,true,free,,2026-01-31,2026-05-07,1382,7
Godcoder,godcoder,AI Coding Assistants & Harnesses,Rust,"A local-first, open-source coding agent for your desktop. Bring your own LLM key; your code stays on your machine and only ever leaves to the model provider. The AI Agent builds its own Harnes.",,https://github.com/eli-labz/Godcoder,oss-library,true,true,free,,2026-06-27,2026-07-04,239,4
openwiki,openwiki,AI Coding Assistants & Harnesses,TypeScript,OpenWiki is a CLI that writes and maintains agent documentation for your codebase.,,https://github.com/langchain-ai/openwiki,oss-library,true,true,free,,2026-06-22,2026-07-24,13191,4
deepwiki-rs,deepwiki-rs,AI Coding Assistants & Harnesses,Rust,Turn code into clarity. Generate accurate technical docs and AI-ready context in minutes—perfectly structured for human teams and intelligent agents.,,https://github.com/sopaco/deepwiki-rs,oss-library,true,true,free,,2025-09-05,2026-07-24,1375,3
cc-switch-cli,cc-switch-cli,AI Coding Assistants & Harnesses,Rust,"⭐️ A cross-platform CLI All-in-One assistant tool for Claude Code, Codex & Gemini CLI.",,https://github.com/SaladDay/cc-switch-cli,oss-library,true,true,free,,2025-11-23,2026-07-24,4380,2
loopy,loopy,AI Coding Assistants & Harnesses,JavaScript,"A library of practical AI-agent loops and an installable skill for finding, adapting, and designing repeatable agent workflows.",,https://github.com/Forward-Future/loopy,oss-library,true,true,free,,2026-06-12,2026-07-07,2855,4
code-review-graph,code-review-graph,AI Coding Assistants & Harnesses,Python,"Local-first code intelligence graph for MCP and CLI. Builds a persistent map of your codebase so AI coding tools read only what matters, with benchmarked context reductions on reviews and large-repo workflows.",,https://github.com/tirth8205/code-review-graph,oss-library,true,true,free,,2026-02-26,2026-07-25,26299,2
claude-token-efficient,claude-token-efficient,AI Coding Assistants & Harnesses,Python,"One CLAUDE.md file. Keeps Claude responses terse. Reduces output verbosity on heavy workflows. Drop-in, no code changes.",,https://github.com/drona23/claude-token-efficient,oss-library,true,true,free,,2026-03-30,2026-06-16,5872,4
groundtruth,groundtruth,AI Coding Assistants & Harnesses,JavaScript,"Groundtruth — a Claude Code plugin that audits whether an agent actually did what it was asked; catches the false 'Done' on Stop (missed subtasks, stubs, false 'tests pass', overridden rules).",,https://github.com/akahkhanna/groundtruth,oss-library,true,true,free,,2026-06-30,2026-07-23,5,5
OpenSpec,openspec,AI Coding Assistants & Harnesses,TypeScript,Spec-driven development (SDD) for AI coding assistants.,https://github.com/Fission-AI/OpenSpec,https://github.com/Fission-AI/OpenSpec,hybrid,false,false,freemium,,2025-08-05,2026-07-23,62499,1
Factory Droid,factory-droid,AI Coding Assistants & Harnesses,SaaS,Factory's power in your terminal — a CLI coding agent ('droid') for agentic software development.,https://docs.factory.ai/cli/getting-started/overview,,saas,false,false,freemium,,,,0,3
Factory AutoWiki,factory-autowiki,AI Coding Assistants & Harnesses,SaaS,"Generates comprehensive, structured wikis and documentation for your repositories automatically.",https://docs.factory.ai/cli/features/wiki/overview,,saas,false,false,freemium,,,,0,4
DeepWiki,deepwiki,AI Coding Assistants & Harnesses,SaaS,"AI documentation you can talk to — up-to-date docs for every repo, powered by Devin (Think Deep Research for GitHub).",https://deepwiki.com/,,saas,false,false,freemium,,,,0,5
MiMo Code,mimo-code,AI Coding Assistants & Harnesses,SaaS,Xiaomi's MiMo open-source coding models and agent playground for agentic software engineering.,https://mimo.xiaomi.com/coder?lang=en,,saas,false,false,freemium,,,,0,6
Abralo,abralo,AI Coding Assistants & Harnesses,SaaS,"Runs many Claude Code agents at once in one native window — lightweight, local, multi-agent management for your own Claude.",https://abralo.com,,saas,false,false,freemium,,,,0,7
improve,improve,AI Coding Assistants & Harnesses,Various,Use your most capable model to audit your codebase and write plans for cheaper models to execute.,,https://github.com/shadcn/improve,oss-library,true,true,free,,2026-06-10,2026-06-15,8640,6
Supacode,supacode,AI Coding Assistants & Harnesses,Swift,Native terminal coding agents command center — run 50+ worktree coding agents in parallel.,,https://github.com/supabitapp/supacode,oss-library,true,true,free,,2026-01-21,2026-07-22,2190,1
Codex Plugin for Claude Code,codex-plugin-for-claude-code,AI Coding Assistants & Harnesses,JavaScript,"Official OpenAI plugin to use Codex from inside Claude Code — review code, delegate tasks, run adversarial reviews, and manage background jobs.",,https://github.com/openai/codex-plugin-cc,oss-library,true,true,free,,2026-03-30,2026-07-08,29889,2
osiris,osiris,Data & OSINT,Various,Real-time OSINT dashboard and intelligence platform with flight tracking and CCTV,,https://github.com/simplifaisoul/osiris,oss-library,true,true,free,,2026-05-12,2026-07-23,7146,1
FlowSint,flowsint,Data & OSINT,TypeScript,"Visual, flexible graph-based investigation platform for cybersecurity analysts and investigators",,https://github.com/reconurge/flowsint,oss-library,true,true,free,,2025-01-31,2026-07-01,7440,1
Architecture Diagram Generator,architecture-diagram-generator,Diagramming & Architecture,TypeScript,Generate beautiful dark-themed system architecture diagrams as standalone HTML/SVG,,https://github.com/Cocoon-AI/architecture-diagram-generator,oss-library,true,true,free,,2025-12-22,2026-05-13,6686,1
D2,d2,Diagramming & Architecture,Go,A modern diagram scripting language that turns text into diagrams,,https://github.com/terrastruct/d2,oss-library,true,true,free,,2022-09-05,2026-04-24,24758,1
D2 MCP,d2-mcp,Diagramming & Architecture,TypeScript,An MCP server enabling D2 diagram generation and manipulation via Model Context Protocol,,https://github.com/i2y/d2mcp,oss-library,true,true,free,,2025-06-22,2025-07-02,30,3
Draw.io,draw-io,Diagramming & Architecture,JavaScript,"JavaScript, client-side editor for general diagramming",,https://github.com/jgraph/drawio,oss-library,true,true,free,,2016-09-06,2026-07-23,7034,1
Draw.io MCP,draw-io-mcp,Diagramming & Architecture,JavaScript,MCP integration server for the draw.io diagramming tool,,https://github.com/jgraph/drawio-mcp,oss-library,true,true,free,,2026-02-02,2026-07-24,4975,2
